gender,freq_city,freq_country,freq_chl,freq_cwc,freq_wc,trav_country,trav_chl,trav_cwc,trav_wc,whole_high,live_rep,vid_txt,vid_audio,freq_tv,freq_pc,freq_tabl,frec_cell,stats,alone_together,freq_with_friends,freq_with_rel,freq_alone,freq_home,freq_friends,freq_rel,freq_stad,freq_bar,freq_food,freq_nonalc,freq_alc,emotions,paraphenalia,bets,bets_win,d_cornerk,d_save,d_freek,d_goal,d_assist,d_foul,d_penalty,d_offside,d_steal,d_fight,a_offside,a_penalty,a_cornerk,a_oppscore,a_wescore
Male,0,0,1,0.33,1,0,1,1,1,Whole game,Live,Video,Video,0.33,1,0,0.33,1,Together,1,0.33,0.33,1,0.33,0.33,0.33,0,0.33,0.33,0.33,Happy,Yes,No,,1,1,1,1,1,0.75,1,1,1,1,Attacker,Ball,Defenders,Attacker,Attacker
Male,0,0.66,0.66,0,1,0.5,1,0,1,Whole game,Live,Video,Video,0.33,1,0,0.33,1,NP,0.33,0.33,1,1,0.33,0.33,0.33,0,0.66,0.66,0.33,Yes,Yes,Yes,0.66,0.5,1,1,1,1,0.75,0.75,0.75,0.5,0.75,Attacker,Goalkeeper,Defenders,Attacker,Attacker
Male,0,0,0.33,0,0.66,0,0.75,0,0.75,Highlights,Live,Text,Video,0.33,0.66,0,0.33,0.66,Together,0.33,0.66,0.66,0.66,0,0.33,0.33,0,0.66,0.33,0,Happy,No,No,,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.25,0.25,0.5,Attacker,Ball,Goalkeeper,Goalkeeper,Goalkeeper
Male,0.33,0.33,0.66,0.66,0.66,0.25,1,0.5,1,Whole game,Live,Video,Video,0.66,0.66,0,0.33,0.66,Together,0.66,0.33,0.33,0.66,0.66,0,0.33,0.66,0.66,0.66,,Yes,Yes,No,,0.5,1,1,1,1,1,0.75,0.5,0.75,1,Attacker,Attacker,Attacker,Defenders,Attacker
Male,0.33,0.66,1,0.66,1,0.5,1,0.25,1,Whole game,Live,Video,Video,0.66,1,0.66,0.66,1,Together,1,0.33,0.66,0.66,0.66,0,0.66,0.66,1,1,,Yes,Yes,Yes,0.66,0.25,0.75,0.75,1,1,0.25,0.5,0.25,0.25,0.75,Attacker,Attacker,Defenders,Attacker,Attacker
Male,0,0,1,0.33,1,0,1,0.25,1,Whole game,Live,Video,Video,0.66,1,0,0.33,1,Together,1,0.33,0.33,1,0.33,0,0.33,0.33,0.33,0.33,0.33,Yes,Yes,Yes,0,0.5,0.5,0.75,1,1,1,1,0.75,0.75,0.5,Attacker,,Defenders,Attacker,Defenders
Male,0.33,1,1,1,1,0.25,0.5,0.25,0.25,Whole game,Live,Video,Video,1,1,0,0.66,0.66,Together,1,0.66,0,0.66,1,0,0.33,1,0.33,0,0.33,Yes,Yes,Yes,0.66,0.25,1,1,1,1,0.25,0.75,0.5,0.75,1,Attacker,Goalkeeper,Attacker,Attacker,Defenders
Male,0.33,0.66,0.66,0.66,0.66,0,0,0,0.25,Whole game,Live,Video,Video,1,0.66,0,0,0.33,Together,1,0,0,0.66,0.66,0.33,0.33,0,0.33,0.33,0,Yes,No,Yes,0.33,0,0,0,0,0,0,0,0.25,0.25,0.25,Attacker,Goalkeeper,Defenders,Defenders,Defenders
Male,0.33,0.33,0.33,0.33,0.33,0,0,0,0,NP,NP,NP,NP,0,0,0,0,0,Together,0.66,0,0,0,0.33,0,0,0.33,0.33,0,0.33,No,No,No,0,0,0,0,0,0,0,0,0,0,0,,Ball,Ball,Ball,Ball
Male,0,0.33,1,0.33,1,0,1,0.25,1,Whole game,Live,Video,Video,1,1,0,0,1,Together,0.66,0.66,0.66,1,0.33,0.66,0.33,0.66,0.66,1,0.33,Yes,Yes,Yes,0.66,1,1,1,1,1,1,1,1,0.75,0.75,Attacker,Goalkeeper,Goalkeeper,Ball,Ball
Male,0,0,0.66,0.66,0.66,0,1,1,1,Whole game,Live,Video,Video,0.33,1,0.33,0.33,1,NP,0.66,0,0.66,0.66,0.66,0,0.33,0,0.33,0.66,0.33,No,No,No,,0.5,0.5,0.75,1,0.5,0.25,1,0,0.25,0,Attacker,Attacker,Ball,Ball,Ball
Male,0,0,0.33,0.33,0.33,0,0,0,0,NP,NP,Video,Video,0.33,0.33,0,0,0,NP,0,0.33,0,0.33,0.33,0.33,0.33,0,0.66,0.66,0,Yes,Yes,No,,0.5,0.75,1,1,1,1,0.75,1,1,1,Ball,Ball,Ball,Ball,Attacker
Male,0.33,0.33,1,0.33,1,0.25,0.75,0.5,1,Highlights,Live,Video,Video,0.33,1,0,0.33,1,Together,1,0.33,0.33,0.66,0.66,0.33,0.33,0.33,0.66,0.66,0,Yes,Yes,No,0,1,1,1,1,1,1,1,1,1,1,Attacker,Ball,Attacker,Defenders,Attacker
Male,0,0.33,1,0.33,1,0.25,0.75,0.25,0.75,Whole game,Live,Video,Video,0.66,1,0.66,0.33,1,NP,0.66,0,1,1,0.33,0.33,0.33,0.33,0.33,0.33,0,Yes,No,No,,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Attacker,Attacker,,Defenders,
Male,0,0,1,0.33,1,0,1,0.5,1,Whole game,Live,Video,Video,0.33,1,0.33,0.33,1,NP,1,0,1,1,0.33,0.33,0.33,0.33,0.66,0.66,,No,Yes,Yes,1,1,1,1,1,1,1,1,1,1,1,Defenders,Goalkeeper,Defenders,Attacker,Defenders
Male,0,0.33,1,0.66,1,0,1,0.5,1,Whole game,Live,Video,Video,1,0.66,0.33,0.33,0.33,NP,0.33,0.66,0.66,0.66,0.33,0.66,0.33,0,1,1,0,Yes,Yes,No,,0,0.5,0.5,1,1,0,0.75,0,0.5,0,Defenders,Goalkeeper,,Defenders,Attacker
Male,0.33,0.33,1,0.33,1,0,1,0.5,1,Whole game,Live,Video,Video,0.66,0.66,0.33,0.33,0.66,NP,0.66,0.33,0.66,0.66,0.66,0.33,0.33,0,0.66,0.66,0,No,Yes,Yes,0.66,0.5,0.25,0.25,0,0.25,0.75,0,0.75,0.5,0,Defenders,Attacker,Defenders,Attacker,Attacker
Male,0,0.33,0.66,0,1,0,0.75,0,0.75,Whole game,NP,Video,Video,0.66,0.66,0,0,1,NP,0.33,0.66,1,1,0.33,0.33,0.33,0,0.33,0.33,0,No,Yes,Yes,0.33,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Defenders,Ball,Attacker,Goalkeeper,Goalkeeper
Male,0.33,1,1,0.33,1,1,1,1,1,Whole game,Live,Video,Video,0.66,1,0,0.66,1,Together,0.66,0.33,0.66,1,0.33,0.33,0.66,0,0.66,0.66,0,Yes,Yes,No,,0.5,1,1,1,1,0.5,0.75,0.25,0.75,0.5,Ball,Goalkeeper,Defenders,Defenders,Attacker
Male,0,0.33,0,0,0,0.25,1,0.75,1,Whole game,Live,Video,Video,0.66,0.66,0.33,0.33,0.33,NP,0.33,0.66,0.33,0.66,0,0.33,0.33,0,0.66,0.66,0,Yes,Yes,No,,0.75,0.75,1,1,1,0.75,1,0.75,0.75,0.75,Attacker,Ball,Ball,Defenders,Ball
Male,0,0.33,1,0.66,1,0.25,0.75,0.5,0.75,Whole game,Live,Video,Video,1,1,0,0,1,Together,0.66,0.66,1,1,0.66,0.33,0,0.33,1,1,0.66,No,Yes,No,,0.5,0.75,0.75,1,1,0.75,1,0.5,0.25,0.75,Attacker,Attacker,Attacker,Attacker,Attacker
Male,0,0.66,1,0.66,1,0,1,0.5,1,Whole game,Live,Video,Video,0.66,1,0,0,1,Together,1,1,0.33,1,1,1,0.66,0.33,0.33,0.66,0,Yes,Yes,No,,0.75,1,0.75,1,1,0.75,1,0.75,1,0.5,Defenders,Attacker,Defenders,Attacker,Defenders
Male,0.33,0.33,1,0,1,0,1,0,1,Whole game,Live,Video,Video,0.66,0.66,0,0,1,NP,0.66,0.33,0.66,1,0.66,0.33,0.33,0.33,0.66,0.66,0.33,Yes,Yes,No,,1,1,1,1,1,0.5,1,0.5,0.75,0,Defenders,Attacker,Attacker,Defenders,Attacker
Male,0,0.33,0.66,0.33,1,0.5,0.75,0.25,1,Whole game,Live,Video,Video,0.33,1,0,0,1,Together,1,0.33,0.66,1,0.33,0.33,0.33,0.33,0.33,0.66,0.33,Yes,Yes,Yes,0.66,0.5,0.75,0.5,1,1,0.5,1,0.5,0.25,0,Attacker,Goalkeeper,Attacker,Defenders,Attacker
Male,0,0,1,0.33,1,0,1,0.5,1,Whole game,Live,Video,Video,0.66,0.66,0,0,0.66,NP,0.66,0.33,0.66,0.66,0.66,0,0.33,0.33,0.66,0.66,0.33,Yes,Yes,No,,1,1,1,1,1,1,1,1,1,1,Attacker,Attacker,Attacker,Attacker,Attacker
Male,0,0.33,0.66,0,0.66,0.25,1,0,0.75,Whole game,Live,Video,Video,0.66,0.66,0,0,0.66,NP,0.33,0.33,0.66,1,0.33,0.33,0.33,0.33,0.33,0.33,0,Happy,Yes,Yes,0.33,0.75,1,1,1,0.75,1,1,1,0.75,0.75,Attacker,Ball,Ball,Ball,Ball
Male,0.33,0.33,1,0,0.66,0,1,0,1,Whole game,Live,Video,Video,0.33,1,0,0,0.66,NP,0.66,0,0.66,1,0.66,0,0.33,0.33,0.66,0.66,0,Happy,Yes,No,,0.5,0.75,1,1,1,0.5,1,0.5,0.75,0.5,,,Ball,,
Male,0,0.33,0.66,0.33,1,0,0,0,1,Whole game,Live,Video,Video,0,1,0,0,1,Alone,0.33,0,1,1,0,0.33,0.33,0.33,0.66,0.66,0.33,Yes,Yes,No,,0.25,0.75,0.75,1,1,0.25,0.25,0,0,0.25,Defenders,Ball,Goalkeeper,Ball,Defenders
Male,0.33,0.33,0.33,0.33,0.33,0,0,0,0,Highlights,NP,Video,Video,1,1,0.66,1,0.33,Together,0.66,0.66,0.33,0.66,0.33,0.33,0.33,0,0.66,0.66,0,No,No,No,,0.75,1,0.75,1,0.75,0.5,1,0.25,0,0,Attacker,Ball,Ball,Attacker,Goalkeeper
Male,0,0.33,1,0,1,0,0.5,0,1,Whole game,Live,Video,Video,0.33,1,0,0.33,1,NP,1,0.33,1,1,1,0,0.33,0.33,0.66,0.66,0,Yes,Yes,Yes,0.33,1,1,1,1,1,1,1,1,1,1,Attacker,Defenders,,Defenders,
Male,0.33,1,1,1,1,0.25,1,1,1,NP,Live,Video,Video,1,0.33,0.33,0.33,1,Together,0.33,1,0.33,1,0.33,1,0,0,0.66,0,0.66,Happy,Yes,No,,0.75,0.75,1,1,1,0.5,1,1,1,0.5,Attacker,Goalkeeper,Attacker,Attacker,Ball
Male,0,0.33,1,1,1,0.25,1,1,1,Whole game,Live,Video,Video,0.66,0.66,0,0.33,1,NP,0.33,0.33,0.66,0.66,0.33,0.33,0.33,0,0.66,0.66,0,Yes,Yes,No,,0.5,0.75,0.75,1,1,0.25,0.25,0,1,0.5,Defenders,Goalkeeper,Attacker,Defenders,Attacker
Male,1,1,0.66,0.33,0.66,0.25,0.25,0.25,0.25,Whole game,Live,Video,Video,1,0.66,0,0.66,1,NP,0.33,1,1,1,0,0.33,0.33,0,0.33,0,0,Yes,Yes,No,,0.25,0.5,0.75,1,1,1,1,1,0.5,0.5,Attacker,Attacker,Attacker,Attacker,Attacker
Male,0,0,0.66,0,0.66,0,1,0,1,NP,Live,Video,Video,0.33,1,0.66,0,0.66,NP,0.33,0.33,0.66,0.66,0.33,0.33,0,0,1,1,0.66,Yes,Yes,No,0,0.25,0.75,0.75,1,1,0,0.5,0,0.75,0,Defenders,Goalkeeper,Attacker,Attacker,Goalkeeper
Male,0.33,0.33,1,0.33,1,0.5,1,1,1,Whole game,Live,Video,Video,0.33,1,0,0.33,0.33,Together,1,0.33,0.66,0.66,0.33,0.33,0.33,0.66,1,1,0.66,Yes,Yes,No,,1,1,1,1,1,1,1,0.5,0.5,1,Defenders,Attacker,Attacker,Defenders,Attacker
Male,0,0.33,1,1,1,0.75,1,1,1,Whole game,Live,Video,Video,0,1,0,0.66,0.66,NP,0.66,0,1,1,0.33,0.33,0.66,0.33,0.66,0.66,0,Yes,Yes,No,,1,1,1,1,1,1,1,1,1,1,Defenders,Ball,Attacker,Defenders,Attacker
Female,0,1,1,1,1,1,1,1,1,Whole game,Live,Video,Video,1,1,0,1,1,NP,0.33,1,0.66,1,0,1,1,0,0.33,0.66,0,Yes,Yes,No,,1,1,1,1,1,0.5,1,0.75,0.5,0.5,Defenders,Attacker,Attacker,Defenders,Goalkeeper
Male,1,1,0.66,0.33,1,0.25,0.5,0,0.5,Whole game,Live,Video,Video,0.33,0.66,0,0,0.66,Together,0.66,0.66,0.66,0.66,0.66,0.33,0.66,0.66,0.66,0.66,0.66,Yes,Yes,Yes,0.33,0.5,1,1,1,1,0.75,0.75,0.75,0.75,0.5,,,,,
Male,0,0.33,1,0.33,1,0.25,1,0.25,1,Whole game,Live,Video,Video,0.33,1,0,0,1,NP,1,0.33,0.33,0.66,0.66,0,0.33,0,1,1,0.33,Yes,Yes,No,,0.75,0.75,1,1,1,1,1,1,0.75,0.75,,Ball,Attacker,,
Male,0.33,0.33,0.66,0,1,0,1,0,1,NP,Live,Video,Video,0.66,1,0.33,0.33,1,NP,0.66,0.33,0.33,0.66,0.66,0.33,0.33,0.33,0.66,0.66,0.33,Yes,Yes,Yes,,0.75,1,1,1,1,0.75,1,0.75,0.5,0.75,,Ball,Ball,Attacker,Attacker
Male,0.33,0.33,0.33,0.33,0.33,0.75,1,1,1,Highlights,Replay,Video,Video,0.33,1,0.33,0.33,0.33,Together,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,Yes,Yes,No,,0,0,0,0,0,0,1,0,0,0,Ball,Defenders,Attacker,Attacker,Goalkeeper
Male,0,0.66,0.66,0,1,0,0.5,0,1,NP,Live,Video,Video,0.66,1,0,0,1,NP,0.66,0.33,0.66,0.66,0.66,0.33,0.33,0.33,0.33,0.66,0,Yes,Yes,No,,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,Attacker,Ball,,,
Male,0,0,0.66,0,0.66,0,1,0.25,1,Whole game,Live,Video,Video,0.33,0.66,0,0.33,1,NP,0.33,0.33,0.66,0.66,0.33,0.33,0.33,0,0.33,0.33,0.33,Yes,Yes,Yes,0.33,0.5,1,1,1,1,0.5,0.75,0.5,0.5,0.75,Defenders,Attacker,Attacker,Ball,Ball
Male,0.33,0.33,0.66,0,1,0.25,0.75,0,1,Highlights,NP,Video,Video,0.33,0.66,0,0.66,1,Together,0.33,0,0.66,0.66,0.33,0,0.33,0.33,1,0.66,0.66,Yes,Yes,No,0,0.25,0.75,1,1,1,0.5,1,0.5,0.25,1,Attacker,Attacker,Ball,Goalkeeper,Attacker
Female,0,0.33,1,0.33,1,0.75,1,0.5,1,Whole game,Live,Video,Video,1,0.66,0,0,0.66,NP,0.33,0.33,1,1,0,0,0,0.33,0,0.66,0.33,Yes,No,No,,0.75,0.75,0.75,1,1,0.75,0.75,1,0.75,0.5,Attacker,Ball,Attacker,Defenders,Ball
Male,0,1,1,1,1,0.5,1,0.5,1,Whole game,Live,Video,Video,1,0.33,0,0,0.66,NP,1,1,1,1,1,1,0.33,1,0.33,0.66,0.33,Yes,Yes,No,0,1,1,1,1,1,1,1,1,1,1,Attacker,Attacker,Ball,Attacker,Attacker
Male,0,0,1,1,1,1,1,1,1,Whole game,Live,Video,Video,1,1,0,0,0.66,Alone,0.33,0,1,1,0,0,0.33,0,1,1,0,Yes,Yes,Yes,0.66,0.5,0.75,1,1,0.5,0.5,1,0,0,0,Defenders,Ball,Attacker,Ball,Attacker
Female,0,0,0.33,0.33,0.66,0,0.5,0.5,1,Whole game,Live,Video,Video,0.33,0.33,0,0,0.33,Together,0.33,0,0,0.33,0.66,0,0.66,0.33,0.66,1,0.33,Yes,Yes,No,,0.5,1,0.25,0.5,0.25,0.25,0.75,0.5,0.25,0.75,Attacker,Defenders,,Ball,Ball
Male,0,0.66,1,1,1,1,1,1,1,Whole game,Live,Video,Video,0.33,1,0.33,0.33,1,Together,1,0.33,1,1,1,0.33,0.66,0.33,1,0,0,Yes,Yes,Yes,0.33,1,1,1,1,1,1,1,0.5,0.5,1,Attacker,Attacker,Ball,Attacker,Goalkeeper
Female,0.33,0,0.33,0.33,0.33,0.25,0.5,0.5,0.5,NP,Live,NP,NP,0.66,0.66,0,0.66,0.66,NP,0.66,0,0.33,0.66,0.66,0,0.66,0,0,0.33,0,No,No,No,,0.75,1,1,1,0.75,0.5,0.5,0.5,0.5,1,Ball,Attacker,Goalkeeper,Goalkeeper,Attacker
Male,0,1,1,0,0.66,0.25,0.75,0,0.75,Whole game,Live,Video,Video,0.33,1,0,0.33,1,Alone,0.33,0,1,1,0,0,0.33,0,0.66,0.66,0,Yes,No,No,,0.5,1,0.5,1,1,0.75,1,0.75,0.5,1,Defenders,Attacker,Defenders,Defenders,Defenders
Male,0,0.33,1,0.33,1,0,0.75,0.75,0.75,Highlights,Live,Video,Video,0.33,1,0.33,0.33,0.66,NP,0.33,0.66,0.66,0.66,0.33,0.33,0.33,0.66,0.66,0.66,0.33,Yes,Yes,No,,0.25,0.25,0.25,1,0.5,0.5,0.75,0.5,0.5,0.5,Attacker,Goalkeeper,Attacker,Attacker,Defenders
Male,0,0.33,1,0.66,0.66,0,1,1,1,Highlights,Live,Video,Video,0.33,1,0,0,1,Together,0.33,0,1,1,0,0,0.33,0.33,0.66,0.33,0.33,Yes,Yes,Yes,0.33,1,1,1,1,1,0,0.25,0,0,1,Attacker,Attacker,Attacker,Attacker,Goalkeeper
Female,0.33,0.33,1,1,1,0.5,1,0.75,1,Whole game,Live,Video,Video,1,0.66,0,0.33,1,NP,0.66,0.66,0.66,1,0.33,0.66,0.33,0,0.66,1,0,Yes,Yes,No,,0.75,0.75,0.75,1,1,1,1,0.75,1,1,Defenders,Ball,Defenders,Attacker,Attacker
Female,0,0,0.66,0,0.66,0,0,0,0.5,NP,Live,Video,Video,0.66,0.33,0,0,0.33,Together,0.66,0.66,0.33,0.66,0.66,0,0.33,0.33,0.66,0.66,0,No,No,Yes,0.33,0,0.5,0,0.5,0.5,0,0.25,0,0.5,0,Ball,Goalkeeper,Attacker,Defenders,Attacker
Female,0,0.33,0.66,0.66,0.66,0.5,1,1,0.75,Whole game,Live,Video,Video,0.33,0.66,0,0,0.66,NP,0.66,0.33,0.66,0.66,0,0,0.33,0.33,0.66,0.66,0,Yes,No,No,,0.75,0.5,0.5,1,0.5,0.5,1,0.75,0.5,0.25,Defenders,Attacker,Ball,Goalkeeper,Defenders
Female,0,0,0.66,0.66,1,0.5,1,0.5,1,Whole game,Live,Video,Video,0.66,0.66,0,0.33,0.66,Together,0.66,0.33,0.66,0.66,0.33,0.33,0,0.66,0.66,0.66,0,Yes,Yes,No,,1,1,1,1,1,1,1,1,1,1,Ball,Attacker,Attacker,Defenders,Attacker
Female,0,0,0.66,0,0.66,0,0.5,0,0.5,Whole game,Live,Video,Video,0.66,0.66,0.66,0.66,0.66,Together,0,1,1,1,0,0,0,0,0.33,0.66,0,Yes,Yes,Yes,0.66,1,1,1,1,1,1,1,1,1,1,Attacker,Attacker,Defenders,Attacker,Goalkeeper
Female,0.33,0.33,1,1,1,0.25,1,1,1,Whole game,Live,Video,Video,1,0,0,0,0.66,Together,0,1,0,1,0,0,0,0,0.33,0.66,0,No,Yes,No,,1,0.75,0.25,1,0.75,0,0.5,0.5,1,0,Attacker,Goalkeeper,Defenders,Ball,Defenders
Female,0,0.33,0.66,0.66,0.66,0.5,0.5,0.5,0.5,Whole game,Live,Video,Video,0.33,0.66,0.66,0,0.33,Alone,0.33,0.33,0.66,0.66,0.33,0,0.33,0,0.66,0.66,0,Yes,Yes,No,,0.5,1,0.75,1,0.75,0.5,1,0.75,0.5,0.5,Goalkeeper,Goalkeeper,Goalkeeper,Attacker,Attacker
Female,0,0.33,0.66,0.66,0.33,0.25,1,1,1,Whole game,Live,NP,Video,0.66,0.33,0,0.33,1,NP,0.66,0.33,1,0.66,0.33,0.33,0.33,0,0,0.33,0,Yes,Yes,Yes,,0.5,1,0.75,1,0.5,0.5,0.75,0.25,0.5,0.25,Ball,Attacker,Ball,Goalkeeper,Ball
Female,0,0.33,0.66,0,1,0.5,0.75,0.5,0.75,NP,Live,Video,Video,0.33,1,0,0.33,0.66,Together,0.66,0.66,0.33,0.33,0.66,0.33,0.33,0.33,0.66,0.66,0,Yes,Yes,No,,0.25,0.25,0.5,1,0.75,0.75,0.75,0.5,0.5,0.5,Ball,Goalkeeper,Ball,Goalkeeper,Attacker
Female,0,0,1,1,1,0,1,1,1,Whole game,Live,Video,Video,1,0,0,0,0.33,Together,0.33,1,0.33,1,0.33,0.33,0,0.33,0.33,0.66,0.33,No,No,No,,0.75,1,1,1,1,0.75,1,0.75,0.75,1,Attacker,Goalkeeper,Defenders,Defenders,Attacker
Female,0.33,0.66,1,0.66,0.66,0.75,1,1,1,Whole game,Live,Video,Video,0.33,1,0,0,0.66,Together,1,0.33,0.66,0.66,0.66,0,0.33,0.33,0.33,0.66,0,Yes,Yes,No,0,1,0.75,0.75,1,1,0.5,1,0.5,0.5,0.5,Ball,Goalkeeper,Defenders,Defenders,Attacker
